layout,comparison,target,target_wins,opponent_wins,games,target_win_rate,target_as_red_wins,target_as_blue_wins,average_steps
default,v3 vs v2,v3,104,96,200,0.52,58,46,16.53
random,v3 vs v2,v3,130,70,200,0.65,70,60,18.09
