dataset,key,path,games,samples,mean_value,positive_value_rate,negative_value_rate,red_winner_rate,blue_winner_rate,policy_entropy_mean,note
D0 MCTS,d0_mcts_500,artifacts/data/self_play_500g_100s.npz,500,8702,0.030337853357195854,0.515168926683521,0.48483107331647896,0.5155136750172374,0.48448632498276256,0.89601731300354,Basic MCTS self-play.
D1 root NMCTS,d1_root_500,artifacts/data/self_play_neural_mcts_500g_80s.npz,500,8528,0.03447467088699341,0.5172373358348968,0.4827626641651032,0.5860694183864915,0.41393058161350843,0.7570990324020386,Root neural-MCTS self-play.
D2 mixed V2,d2_mixed_v2,artifacts/data/self_play_mixed_v2_1000g.npz,1000,17230,0.03238537535071373,0.5161926871735345,0.48380731282646544,0.5504352872896111,0.44956471271038884,0.8272596001625061,Merged D0 and D1.
D3 random root,d3_random_root,artifacts/data/self_play_neural_mcts_v2_random_1000g_80s.npz,1000,18795,0.02697525918483734,0.5134876296887471,0.486512370311253,0.4993349295025273,0.5006650704974728,0.7176963090896606,Root neural-MCTS with random layouts.
D4 mixed V3,d4_mixed_v3,artifacts/data/self_play_mixed_v3_random.npz,2000,36025,0.029562802985310555,0.5147814018043025,0.48521859819569746,0.5237751561415683,0.47622484385843167,0.7700981497764587,V3 training data.
D5 full NMCTS,d5_full_v3,artifacts/data/self_play_full_neural_mcts_v3_random_1000g_80s.npz,1000,17558,0.03166647627949715,0.5158332384098416,0.4841667615901583,0.556099783574439,0.443900216425561,0.6648719906806946,Full neural-MCTS with V3 network.
D6 final mix,d6_mixed_v4,artifacts/data/self_play_mixed_v4_full.npz,3000,53583,0.030252132564783096,0.5151260661030551,0.48487393389694494,0.5343672433421047,0.4656327566578952,0.7356178164482117,Final V4_full training data.
